RAMP3,CRCP
ERBB3,EPHB6
ERBB3,VEGFA
CD9,ITPR2
GAS1,UGGT1
FBLN1,ERBB3
FBLN1,ERBB4
FBLN1,ERBB4
PTPRB,LAMC1
PTPRB,LAMA1
PTPRD,ROBO2
IL4R,IL2RB
IL4R,PTPRO
GRK2,CCR1
GRK2,CCR2
S100A4,SELPLG
ACVR2A,ACVRL1
CALR,HLA-B
TNFRSF8,TNFSF11
EPHA2,RYK
EPHA3,EFNA4
COL4A5,COL11A1
ICAM3,ITGA4
ICAM3,CD6
ICAM3,ITGA11
PRSS3,SLC1A5
FBN1,SEMG2
FBN1,CNTN1
TIE1,NTN4
TIMP3,MYOC
TGFBR1,ACVR2A
MMP12,HAPLN1
GDF5,BMP4
GDF5,TGFB2
KIR3DL1,HCST
KIR3DL1,HCST
IFNAR2,IL2
HNRNPM,CALR
COL4A4,COL5A3
COL4A4,COL4A4
ATP1B3,HSPA13
EPHA4,EFNA4
VCP,P3H1
LAMB2,LAMC2
INHBE,GDF9
INHBE,INHA
INHBE,BMP3
INHBE,GDF10
CNTNAP1,TEK
CNTNAP1,NEO1
DCD,AOAH
HSPG2,NID1
HSPG2,LAMC3
RUNX1,ADIPOR1
COL4A3,COL1A2
COL4A3,COL11A1
COL4A3,COL1A2
COL4A3,COL11A1
DST,UGGT1
NOTCH2,ADAMTSL4
NOTCH2,NEO1
C1QBP,LINGO1
IL10RB,IL15
MFGE8,PTPRS
CD47,PTPRB
HTR4,LPAR2
ACVR2B,ACVRL1
ACVR2B,CUL5
LAMB3,ERBIN
COL4A6,DDR1
SLC1A5,SMC3
IL17A,NTRK3
AMHR2,CUL5
P3H1,CLU
P3H1,FOLR1
HSD17B12,HSP90B1
HSD17B12,SELPLG
HSD17B12,P3H1
LGMN,ADAMTSL4
TRPV1,TRPC7
SEMA6D,SEMA6D
TNR,PTN
GLG1,LAMC2
GLG1,LAMC2
UGGT1,LAMA5
UGGT1,LAMC1
UGGT1,LAMC3
APOC3,PIP
APOC3,SEMG2
TGFBR2,CFHR4
LAMB4,ACHE
LAMB4,ATP1B3
LEP,ANXA7
LEP,IL2
LEP,IL9R
LEP,RUNX1
INHBA,MGP
INHBA,BMPR1A
INHBA,ACVRL1
CP,FOLR1
TGFB3,TGFB3
NR3C2,PKD1L3
NR3C2,GRIP1
HLA-A,CD74
LYZ,SEMG2
CCRL2,TAC3
ADAM17,ERBB4
PLAT,LRP1
AgRP,OPRK1
AgRP,CXCR4
AgRP,F2RL3
AgRP,LPAR2
BMP2,INHA
LILRB2,FCAR
LOX,FN1
LOX,CLU
LOX,ACHE
ACVR1,ACVRL1
ACVR1,AMHR2
VTN,ITGB1
VTN,ITGB7
HLA-B,KLRC1
SERPINA1,VCAM1
SERPINA1,ITGA1
SERPINA1,BMPR2
HEL111,RYK
HEL111,ICAM4
PLSCR4,FBLN1
NR3C1,NR1D1
NR3C4,NR4A1
FGFR4,FGF8
MST1,LAMC3
INS,IGFBP6
MIF,ERBB3
EL52,KNG1
EL52,RYK
BMPR1B,BMPR1B
MATN2,COL4A4
MATN2,COL4A4
EBAG9,PTH1R
CCN1,LINGO1
CCN1,TWSG1
TOR1A,ERBB3
NRP1,NID1
NRP1,PGF
PLSCR1,ERBB3
LAMA5,SEMG2
LAMA5,LAMB3
LAMA5,LAMA4
CHAD,ITGAV
TNFSF14,EDA2R
TNFSF14,EDA2R
HCRT,CRELD2
CALU,FBN2
CALU,SMC3
CALU,NAXE
VEGFD,GPC4
VEGFD,ITGA4
NRP2,ERBIN
PSPN,INHA
PSPN,GFRA1
PSPN,BMPR2
TLR2,IGFBP3
CUTA,GSN
MEGF6,ERBB2
LRP5,DLG1
CRTAP,DCD
GDF11,BMP15
GDF11,ERBB2
GDF11,TWSG1
UTS2,OPRM1
EFEMP2,LRRC4
SOD1,CPVL
PNP,PRDX5
PNP,B2M
EGFR,ELN
EGFR,PTPRZ1
EGFR,EPHA4
EGFR,MFAP5
EGFR,LAMA3
EGFR,ANGPTL2
HP,TGM4
HP,CD276
CFD,CTSB
PLG,PLG
PLG,SERPINA3
PLG,TFRC
PLG,HGF
PLG,C1QBP
PLG,ITGA9
PLAU,PLAUR
PLAU,AHSG
PLAT,LAMC1
REN,CTSL
REN,SDF2
SERPINA3,GSN
C3,L1CAM
C3,CPB2
C3,SERAC1
C3,PTPRH
CST3,MYOC
NGF,ACVRL1
NGF,NTRK3
TSHB,LHCGR
TNF,CD40
IL2RA,IFNLR1
HLA-DQA2,HLA-DOB
HLA-DQA2,HLA-DPA1
HLA-DQA2,HLA-G
HLA-DQA2,LILRB1
HLA-DQA1,HLA-DOB
COL1A1,ITGA5
COL1A1,COL11A1
COL1A1,ACHE
COL2A1,ITGB1
COL2A1,ITGB1
COL2A1,DDR1
COL4A1,COL11A1
COL4A1,FBLN2
COL4A1,COL9A3
APOE,FAP
APOE,CRISPLD2
FGA,SRPX
CRP,NPTX2
CRP,SDF2
APOH,LRP8
ALB,PSAP
ALB,NOTCH1
TF,SERPINA3
TF,MBL2
TF,ELN
TF,TIMP2
TF,ERBB3
TF,NPTX2
TF,ICAM4
TF,ITLN1
LTF,KLK3
LTF,PRDX4
LTF,SDF2
FGF1,FGFR1
FGF1,FGFR1
AMH,GDF6
APOB,ANXA2
APOB,PTPRS
CSF2,PRLR
CSF2,IL12RB1
CSF2,IL10RA
KRT1,HPX
KRT1,ANXA7
KRT1,CRISPLD2
ERBB2,KDR
ERBB2,LAMC2
ERBB2,LAMC2
ERBB2,EPHA7
ERBB2,NRG1
ERBB2,ANGPT4
ITGB3,ESM1
ITGB3,NOTCH3
ITGB2,ANXA2
ITGB2,LGALS3BP
ITGB2,CDSN
ITGB2,MYDGF
ITGB2,ITGA11
S100A8,PIP
S100A8,HSP90B1
S100A8,LGALS3BP
S100A8,CD276
S100A8,UGGT1
INHA,BMP15
INHA,INHA
SERPINE1,FN1
ICAM1,MYOC
ITGB1,PDGFRA
ITGB1,FLT4
ITGB1,B2M
ITGB1,HTRA1
ITGB1,ERBB2
COL5A2,TGFB2
GSN,KRT1
GSN,HMGB1
GSN,CRISPLD2
GPI,ERBB4
GPI,ERBB4
ITGAV,ITGB5
ITGAV,ITGB1
ITGAV,PIP
ITGAV,CALR
ITGAV,TEK
ITGAV,PAPPA
ITGAV,TSPAN14
ITGAV,OR8D2
CRH,HLA-DQB1
ANXA2,ALDOA
ANXA2,GUSB
ANXA2,ELN
ANXA2,ELN
ANXA2,L1CAM
ANXA2,NEO1
ANXA2,NOTCH3
GRP,HLA-DQB1
GRP,HLA-DQB1
GRP,TACR3
GRP,NPY2R
ADRB2,PTGER3
PSAP,RUNX1
PSAP,CDSN
PSAP,UGGT1
PSAP,COL17A1
CTSL,CXCL5
CTSL,CXCL12
CTSL,SELPLG
CTSB,CLU
CTSB,ELN
CTSB,PLAUR
HSP90AA1,ERBB3
LAMB1,CNTN1
LAMB1,CNTN1
LAMB1,CNTN4
COL1A2,COL11A2
CTSG,CXCL2
CTSG,CXCL5
CTSG,LAMC3
COL4A2,COL5A1
COL4A2,COL4A6
COL4A2,ANKAR
MET,RPSA
ADRB1,AGTR1
ADRB1,ADRA1A
ADRB1,HTR4
ADRB1,CHRD
FCGR3A,FCGR3A
ITGA5,ITGB1
ITGA5,GPC1
ITGA5,YARS1
HTR1A,ADRA1A
NMB,HLA-DQB1
NMB,NPY1R
NMB,CRHR1
NMB,NPY2R
NMB,NPY5R
MMP7,IGF2
LGALS1,ICAM4
HMGB1,TREML2
CTSH,C1QBP
TACSTD2,SDF2L1
PYY,IDE
PYY,ADM
PYY,PTH1R
AR,ACHE
AR,MMRN2
CDH2,KDR
CLU,RUNX1
FGFR1,PTPRC
IGF2R,DCC
FGF5,FGFBP1
BMP4,GDF10
BMP4,TGFBR3
CDH1,LAMA5
CDH1,ITGA6
CDH1,SCARB1
ICAM2,HSP90B1
ICAM2,TMED1
ITGA4,TSPAN14
EDN3,NPFFR1
EDN3,NMUR1
DRD2,GRK2
PKM,ITPR2
HSP90B1,SERPIND1
MMP9,TGFA
MMP9,IGF2
MMP9,ERBB2
MMP9,SERPIND1
MMP9,IL16
MMP9,IL16
PVR,CD28
PVR,CD86
PVR,TMED1
ELN,DCD
ELN,FBN1
ELN,SEMG2
VEGFA,VEGFB
ITGB4,PPT1
ITGB4,ITGA1
ITGB4,PPT1
ITGB4,ITGA1
PDGFRA,S1PR1
IFNAR1,CTF1
ITGA2,ITGB1
ITGA2,ATP1B3
ITGA2,TREML2
PTPRA,PTN
AZU1,F3
TAC1,AVPR1A
ITGAL,F11R
COL9A1,COL11A1
COL5A1,ITGB1
COL5A1,ITGB1
GRK2,CCR1
GRK2,CCR2
GRK2,DLG1
KITLG,IL3RA
KITLG,IL12B
KITLG,IL13RA2
FGFR2,FGF1
FGFR2,EPHB1
ERBB3,EPHA5
ERBB3,EPHB4
ERBB3,NRG1
ERBB3,CUL5
CD9,UGGT1
BMP6,INHBB
BMP6,TGFB2
GAS1,ITPR2
IL10,IFNAR1
FGFR3,FGF23
PTPRB,NTN4
LAMA2,ATP1B3
LAMA2,COL17A1
IL4R,IL27
GRK2,ACKR2
GRK2,CXCR5
GRK2,CCR10
LAMA1,ATP1B3
ITGA3,ITGB3
ITGB7,EGFR
MST1,LAMA2
ACVR2A,INHBC
COL8A1,FBLN5
TNFRSF8,TNFSF12
TNFRSF8,LTB
CCN2,NTRK3
EPHB2,EFNA3
EPHB2,EFNA3
SSTR1,TAC3
SDC4,IDE
IL2RG,IL2RG
IL2RG,CTF1
IL2RG,CTF1
CSF2RB,IL13RA2
ICAM3,LGALS3BP
ICAM3,TREML2
NTF4,NTRK3
ADRA1B,AGTR1
APLNR,TAC3
FBN1,PTN
FBN1,ACHE
FBN1,CNTN1
FBN1,LOXL4
FBN1,STOML2
BSG,HSP90B1
TIMP3,CXCR5
BMPR1A,BMP6
TGFBR1,MGP
OPRL1,SST
GRIA1,TRPC7
GRIA2,GRIA4
GRIA2,GRIK5
GDF5,INHBE
GUCA1A,UGGT1
KIR3DL2,FCER1G
CD151,C1QBP
MASP1,FCN2
MMP14,BCAN
MMP15,ACAN
CCR6,TAC3
HNRNPM,P3H1
EFNA3,EPHA3
ATP1B3,ROBO4
ATP1B3,LRRC4
VCP,SDC4
INHBC,TGFB3
INHBC,INHA
LAMB2,ACHE
WNT4,TWSG1
RELN,LRP1
DCD,LTF
HSPG2,FOLR1
HSPG2,AP2M1
NOTCH2,CACNA1A
NOTCH2,COL14A1
GRIN1,GRIK5
MFGE8,TEK
FSTL1,BMPR2
GRIK3,GRIK2
GRIK3,GRIK4
GRIN2B,DLG1
GRIN2B,DLG1
ACVR2B,ERBB2
ACVR2B,RET
LAMB3,LAMA5
LAMC2,LAMA2
LAMC2,NOTCH3
COL4A6,COL5A1
COL9A3,COL1A2
IL13RA2,IL27
IL17A,LHCGR
AMHR2,ACVR1
AMHR2,TGFBR1
UGRP1,SEMG2
P3H1,KRT1
P3H1,GSN
P3H1,P3H1
GPHB5,LHCGR
LTBP4,MFAP5
SEMA6D,PLXNA2
SEMA6D,PLXNA4
GLG1,SMC3
SDF4,SELPLG
IL17RB,IL25
KCNIP2,SELPLG
KCNIP2,UGGT1
UGGT1,LAMA1
UGGT1,YARS1
IL20RA,IL27
IL6R ,IL6 
IL6R ,IL6ST 
CD80 ,NGFR 
CD80 ,CD28 
CD80 ,CD86
CCR7 ,CCL21 
CCR7 ,CCL22 
CCR7 ,CCL19 
CCR4 ,CCL3 
CCR4 ,CCL5 
CCR4 ,GRK2 
CCL28 ,ACKR2 
CCL3 ,ACKR2 
BLR1 ,CCL5 
NPFFR2 ,HCRT 
ATP1B1 ,EGFR 
ATP1B1 ,ICAM1 
ATP1B1 ,S100A9 
ATP1B1 ,ALCAM 
APOC3 ,CP 
APOC3 ,APOC1 
APOC3 ,SERPING1 
APOC3 ,HEL111 
APOC3 ,ITGB5 
APOC3 ,CNMD 
APOC3 ,CNMD
APOC3 ,F2 
APOC3 ,CFD 
APOC3 ,CFB 
APOC3 ,CST3 
APOC3 ,APOA1 
APOC3 ,APOE 
APOC3 ,APOA2 
APOC3 ,APOC2 
APOC3 ,FGA 
APOC3 ,C1QA 
APOC3 ,C1QC 
APOC3 ,FN1 
APOC3 ,AHSG 
APOC3 ,ALB 
APOC3 ,PPBP 
APOC3 ,HPX 
APOC3 ,KRT1 
APOC3 ,GSN 
APOC3 ,KLK3 
APOC3 ,PRSS1 
APOC3 ,CTSL 
APOC3 ,CFH 
APOC3 ,F7 
APOC3 ,F7
APOC3 ,C4A 
APOC3 ,PF4V1 
APOC3 ,CLU 
APOC3 ,ITGA2 
APOC3 ,ITIH1 
APOC3 ,PRSS3 
APOC3 ,ADRA1B 
APOC3 ,DCC 
APOC3 ,OR3A2 
APOC3 ,DCD 
APOC3 ,SLC1A5 
APOC3 ,SLC1A5
APOC3 ,OR2T6 
APOC3 ,SMPDL3A 
APOC3 ,RYR2 
APOC3 ,OR8D2 
TGFBR2 ,TGFB3 
TGFBR2 ,TGFB1I1 
TGFBR2 ,TGFB1I1
TGFBR2 ,TGFB1 
TGFBR2 ,LRG1 
TGFBR2 ,TGFB1 
TGFBR2 ,CLU 
TGFBR2 ,CD44 
TGFBR2 ,CD44
TGFBR2 ,PDGFRA 
TGFBR2 ,ENG 
TGFBR2 ,ENG
TGFBR2 ,TGFBR1 
TGFBR2 ,TGFBR1
TGFBR2 ,ACVRL1 
TGFBR2 ,TGFB2 
TGFBR2 ,TGFBR3 
TGFBR2 ,SCUBE3 
LAMB4 ,SRPX 
LEP ,INS 
LEP ,A2M 
LEP ,CRP 
LEP ,CLU 
LEP ,CD33 
LEP ,LEPR 
LEP ,UCN 
LEP ,GHRL 
NPY ,PYY 
NPY ,PMCH 
NPY ,NPY1R 
NPY ,MC4R 
NPY ,NPY2R 
NPY ,NR1H2 
NPY ,NPY5R 
CD36 ,SERPINA1 
CD36 ,PLXNB2 
CD36 ,LAMA5 
CD36 ,CRTAP 
CD36 ,A2M 
CD36 ,PIGR 
CD36 ,COL1A1 
CD36 ,COL2A1
CD36 ,COL4A1 
CD36 ,TFRC 
CD36 ,ITGB1 
CD36 ,ITGAV 
CD36 ,CTSD 
CD36 ,PSAP 
CD36 ,THBS1 
CD36 ,COL1A2 
CD36 ,GUSB 
CD36 ,ITGA2B
CD36 ,COL4A2 
CD36 ,ITGA5 
CD36 ,CLU 
CD36 ,LAMC1 
CD36 ,IGF2R 
CD36 ,COL6A1 
CD36 ,FOLR1 
CD36 ,CD44 
CD36 ,M6PR 
CD36 ,COL5A1 
CD36 ,ITGA3 
CD36 ,L1CAM 
CD36 ,FBN1 
CD36 ,BSG 
CD36 ,BTD 
CD36 ,HSPA13 
CD36 ,PPT1 
CD36 ,ATP1B3 
CD36 ,LGALS3BP 
CD36 ,P3H1 
CD36 ,TREML2 
CD36 ,CD276 
CD36 ,SCARB1 
CD36 ,TSPEAR 
CD36 ,SIAE 
CD36 ,PCYOX1 
CD36 ,DPP7 
CD36 ,HYOU1 
CALCR ,MBL2 
SMO ,CACNA1A 
SMO ,PLPP3 
SMO ,EPHB6 
SMO ,TNFRSF8 
SMO ,PTCH1 
SMO ,LPAR4 
SMO ,LPAR2 
SMO ,WNT16 
SMO ,PTCH2 
CLECSF5 ,TYROBP
INHBA ,ACVR1 
INHBA ,INHA 
INHBA ,INHBB 
INHBA ,ACVR2A 
INHBA ,ACVR1B 
INHBA ,INHBC 
INHBA ,TGFBR3 
INHBA ,ACVR2B 
INHBA ,IGFBP7 
INHBA ,CHRDL2 
RAMP3 ,GPR182 
RAMP3 ,RAMP2 
RAMP3 ,ADM 
CP ,APOC1 
CP ,HEL111 
CP ,CNMD 
CP ,CNMD
CP ,PLG 
CP ,APOA1 
CP ,FGA 
CP ,C1QA 
CP ,C1QC 
CP ,FN1 
CP ,ALB 
CP ,KRT1 
CP ,SERPIND1 
CP ,KLK3 
CP ,CTSL 
CP ,CLU 
CP ,FGFR1 
CP ,ELN 
CP ,AOAH 
CP ,ADRA1B 
CP ,SAA4 
CP ,TGM4 
CP ,PAPPA 
CP ,ICAM4 
CP ,LTBP4 
CP ,SMPDL3A 
CP ,OR8D2 
TGFB3 ,ITGAV 
TGFB3 ,ITGB6 
TGFB3 ,SDC4 
TGFB3 ,TGFBR1 
TGFB3 ,TGFB2 
TGFB3 ,TGFBR3 
TGFB3 ,LTBP3 
TGFB3 ,LTBP3
MATN4 ,MATN3 
GABRA2 ,GABRA1 
GABRA2 ,GABRB1 
GABRA2 ,GABRG2 
GABRA2 ,GABRB3
GABRA2 ,GABRA3 
GABRA2 ,GABRB2
GABRA2 ,GABRA4 
GABRA2 ,GABRA6 
GABRA2 ,GABRG1 
GABRA2 ,GABRG3 
FGF13 ,CLEC3B 
C3AR1 ,C4A 
IL11 ,IL6ST
IL11 ,IL11RA
NR1B3 ,NR2B1 
NR1B3 ,RXRB 
NR1B3 ,IL24 
NR1B3 ,LSR 
BMP7 ,NOG 
ADIPOQ ,C1QA 
ADIPOQ ,CDH13 
ADIPOQ ,ADIPOR2 
CLCA1 ,APOA2 
CLCA1 ,PSAP 
CLCA1 ,CDH1 
CLCA1 ,GRN 
CLCA1 ,RYK 
IFNGR2 ,ANXA5 
A8K8M6,KLRC1 
A8K8M6,CALR 
A8K8M6,HLA-F
A8K8M6,KLRD1
A8K8M6,HLA-G 
TSPAN4 ,ITGB1
TSPAN4 ,CD46
TSPAN4 ,ITGA6
TSPAN4 ,ITGA3 
CD3G ,CD3E 
ADRA1D ,ADRA1A
AGT ,AGTR1 
AGT ,AGTR2 
NR3C2 ,EL52 
GH1 ,ANXA2 
GH1 ,GHR 
GH1 ,PRLR 
ANGPTL3 ,ITGA5 
UNC13B ,CRTAP 
UNC13B ,P3H1 
CPN1 ,KNG1
HLA-A ,LILRB2 
HLA-A ,HLA-B 
HLA-A ,TOR1A 
HLA-A ,CALU 
HLA-A ,LDLR 
HLA-A ,ERBB2
HLA-A ,APP 
HLA-A ,ITGB2 
HLA-A ,P4HB 
HLA-A ,MS4A1 
HLA-A ,ITGA4 
HLA-A ,HSP90B1 
HLA-A ,CALR 
HLA-A ,KIR3DL2 
HLA-A ,HSPA13 
HLA-A ,EFEMP1 
HLA-A ,PON2 
HLA-A ,SDF2 
HLA-A ,LILRB1 
HLA-A ,SDF4 
HLA-A ,ERP44 
HLA-A ,SDF2L1 
HLA-A ,HYOU1 
LYZ ,ESR1 
LYZ ,EECP 
LYZ ,LTF 
LYZ ,ANXA1 
LYZ ,ELANE 
LYZ ,CTSG 
LYZ ,PIP 
LYZ ,DEFA4 
LYZ ,PRTN3 
LYZ ,DEFA1 
LYZ ,DEFA3 
LYZ ,PLA2G7 
LYZ ,ESR2 
LYZ ,IL25 
LYZ ,DMBT1 
ST6GAL1 ,HSP90B1 
APOC1 ,SERPING1 
APOC1 ,HEL111 
APOC1 ,ITGB5 
APOC1 ,CNMD 
APOC1 ,CNMD
APOC1 ,F2 
APOC1 ,HP 
APOC1 ,CFD 
APOC1 ,PLG 
APOC1 ,CFB 
APOC1 ,CST3 
APOC1 ,APOA1 
APOC1 ,APOE 
APOC1 ,APOA2 
APOC1 ,APOC2 
APOC1 ,FGA 
APOC1 ,C1QA 
APOC1 ,C1QC 
APOC1 ,FN1 
APOC1 ,AHSG 
APOC1 ,ALB 
APOC1 ,PPBP 
APOC1 ,TF 
APOC1 ,HPX 
APOC1 ,KRT1 
APOC1 ,SERPIND1 
APOC1 ,GSN 
APOC1 ,KLK3 
APOC1 ,PRSS1 
APOC1 ,CTSL 
APOC1 ,CFH 
APOC1 ,F7 
APOC1 ,F7
APOC1 ,C4A 
APOC1 ,PF4V1 
APOC1 ,CLU 
APOC1 ,FGFR1 
APOC1 ,ELN 
APOC1 ,ITGA2 
APOC1 ,ITIH1 
APOC1 ,AOAH 
APOC1 ,PRSS3 
APOC1 ,ADRA1B 
APOC1 ,SAA4 
APOC1 ,DCC 
APOC1 ,OR3A2 
APOC1 ,TGM4 
APOC1 ,GDF10 
APOC1 ,DCD 
APOC1 ,PAPPA 
APOC1 ,ICAM4 
APOC1 ,SLC1A5 
APOC1 ,SLC1A5
APOC1 ,LTBP4 
APOC1 ,OR2T6 
APOC1 ,SMPDL3A 
APOC1 ,RYR2 
APOC1 ,OR8D2 
APOC1 ,GABBR1 
CCRL2 ,CCL19 
OXTR ,OXT 
OXTR ,AVP 
ADAM17 ,TGFA 
ADAM17 ,APP 
ADAM17 ,ITGB1 
ADAM17 ,EPHB2 
ADAM17 ,TIMP3 
ADAM17 ,NOTCH1 
ADAM17 ,JAG1 
ADAM17 ,DLG1 
ADAM17 ,DLG1
ADAM17 ,ERBB4
ERBIN ,ERBB2
ERBIN ,CDH2 
PLAT ,SERPINE1 
PLAT ,LAMA1 
PLAT ,LRP1B 
NR1D2 ,NR1D1 
NR1H4 ,NR2B1 
NR1H4 ,NR2B3 
NR1H4 ,RXRG 
NR1H4 ,ESR1 
LTBP1 ,CACNA1A 
LTBP3 ,CACNA1A 
AgRP ,MC4R 
AgRP ,MC5R 
AgRP ,MC3R 
FGF10 ,POMC 
FGF10 ,FGFR2 
FGF10 ,FGFR2
FGF10 ,FGFR2
FGF10 ,FGFBP1 
BMP2 ,MGP 
BMP2 ,BMP4 
BMP2 ,BMPR1A 
BMP2 ,TGFB2 
BMP2 ,NOG 
BMP2 ,ACVR2B 
BMP2 ,BMPR2 
BMP2 ,CHRDL2 
BMP2 ,CHRDL2
BMP2 ,TWSG1 
BMP2 ,GREM2 
LILRB2 ,HLA-C 
CRLF2 fusion ,TSLP 
CCL5 ,ACKR2 
CCL5 ,PIGR 
CCL5 ,CXCL8 
CCL5 ,VCAN 
CCL5 ,CXCL2 
CCL5 ,SDC4 
CCL5 ,CCR1 
CCL5 ,CXCL5 
CCL5 ,CCR3 
CCL5 ,CCR5 
CCL5 ,IGFBP7 
LOX ,EL52 
LOX ,ANGPT2 
LOX ,CALU 
LOX ,GPC4 
LOX ,STC2 
LOX ,EFEMP2 
LOX ,ALB 
LOX ,ALDOA 
LOX ,SERPINE1 
LOX ,ANXA2 
LOX ,THBS1 
LOX ,ELN 
LOX ,MAG 
LOX ,MSR1 
LOX ,FBN1 
LOX ,DCD 
LOX ,ANKAR 
LOX ,CRISPLD2 
LOX ,FBLN5 
LOX ,ITGA11 
FGFR2 ,FGF1 
PPARG ,NR2B1 
PPARG ,RXRB 
ACVR1 ,THRB 
ACVR1 ,NR2B1 
ACVR1 ,BMP6 
ACVR1 ,ACVR2A 
ACVR1 ,ACVR1B 
ACVR1 ,ACVR1B
ACVR1 ,TGFBR1 
ACVR1 ,TGFBR1
ACVR1 ,ACVR2B 
ACVR1 ,IGSF1 
COL18A1 ,MMP2
COL18A1 ,ITGA5 
COL18A1 ,GPC1 
COL18A1 ,KDR 
COL18A1 ,FBLN2 
IL4 ,IL4R 
IL4 ,IL2RG 
IL4 ,IL13 
IL4 ,IL13RA1 
IL4 ,IL13RA2 
HLA-DRB1 ,HLA-DRA 
HLA-DRB1 ,CD74 
COL6A3 ,ITGB3 
COL6A3 ,ITGB1 
COL6A3 ,ITGA5 
COL6A3 ,COL6A1 
COL6A3 ,COL6A2 
COL6A3 ,ITGA2 
COL6A3 ,ITGA1 
VTN ,ITGB5 
VTN ,TNFRSF11B 
VTN ,F2 
VTN ,PLAU 
VTN ,SERPINC1 
VTN ,KNG1 
VTN ,KNG1
VTN ,EGF 
VTN ,TGFB1 
VTN ,POMC 
VTN ,IGF2 
VTN ,FGG 
VTN ,FGG
VTN ,IGF1
VTN ,ITGB3 
VTN ,SERPINE1 
VTN ,SERPIND1 
VTN ,ITGAV 
VTN ,THBD 
VTN ,THBS1 
VTN ,FGF2 
VTN ,LGALS1 
VTN ,SPARC 
VTN ,HGF 
VTN ,HGF
VTN ,PVR 
VTN ,VEGFA 
VTN ,VEGFA
VTN ,IGFBP3 
VTN ,ITGB6 
VTN ,CD247 
VTN ,IGFBP5 
VTN ,ITGB8 
VTN ,TGFB2 
VTN ,PLAUR 
VTN ,PLAUR
VTN ,C1QBP 
VTN ,PRDX4 
VTN ,SDF4 
VTN ,LACRT 
HLA-B ,CD8A 
HLA-B ,CALR 
HLA-B ,KIR3DL1 
HLA-B ,B2M 
HLA-B ,KLRD1 
HLA-B ,KLRD1
HLA-B ,KIR3DS1 
HLA-B ,LILRB1 
TLR3 ,TRIL 
ACAN ,MMP20 
ACAN ,MMP1 
ACAN ,CTSB 
ACAN ,MMP2
ACAN ,HAPLN1 
ACAN ,MMP8 
ACAN ,MMP14 
ACAN ,FBLN2 
ACAN ,TNR 
ACAN ,MMP19
ACAN ,ADAMTS5 
GP1BA ,GP1BB 
SERPINA1 ,NR2A1 
SERPINA1 ,PLXNB2 
SERPINA1 ,LAMA5 
SERPINA1 ,CRTAP 
SERPINA1 ,HP 
SERPINA1 ,A2M 
SERPINA1 ,PIGR 
SERPINA1 ,APOA1 
SERPINA1 ,FGA 
SERPINA1 ,FGB 
SERPINA1 ,ALB 
SERPINA1 ,TFRC 
SERPINA1 ,TF 
SERPINA1 ,S100A8 
SERPINA1 ,ITGB1 
SERPINA1 ,ITGAV 
SERPINA1 ,KLK3 
SERPINA1 ,CTSD 
SERPINA1 ,PSAP 
SERPINA1 ,GUSB 
SERPINA1 ,ITGA5 
SERPINA1 ,F7 
SERPINA1 ,CLU 
SERPINA1 ,LAMC1 
SERPINA1 ,IGF2R 
SERPINA1 ,FOLR1 
SERPINA1 ,CD44 
SERPINA1 ,M6PR 
SERPINA1 ,COL5A1 
SERPINA1 ,ITGA3 
SERPINA1 ,L1CAM 
SERPINA1 ,FBN1 
SERPINA1 ,BSG 
SERPINA1 ,BTD 
SERPINA1 ,HSPA13 
SERPINA1 ,PPT1 
SERPINA1 ,ATP1B3 
SERPINA1 ,LRP1 
SERPINA1 ,LGALS3BP 
SERPINA1 ,CDSN 
SERPINA1 ,P3H1 
SERPINA1 ,TREML2 
SERPINA1 ,CD276 
SERPINA1 ,SCARB1 
SERPINA1 ,TSPEAR 
SERPINA1 ,SIAE 
SERPINA1 ,MMP26 
SERPINA1 ,PCYOX1 
SERPINA1 ,DPP7 
SERPINA1 ,HYOU1 
SERPING1 ,HEL111 
SERPING1 ,ITGB5 
SERPING1 ,F2 
SERPING1 ,CFD 
SERPING1 ,PLG 
SERPING1 ,PLAT 
SERPING1 ,CFB 
SERPING1 ,CST3 
SERPING1 ,APOA1 
SERPING1 ,APOE 
SERPING1 ,APOA2 
SERPING1 ,APOC2 
SERPING1 ,FN1 
SERPING1 ,AHSG 
SERPING1 ,ALB 
SERPING1 ,PPBP 
SERPING1 ,HPX 
SERPING1 ,KRT1 
SERPING1 ,KLK3 
SERPING1 ,CTSL 
SERPING1 ,F7
SERPING1 ,PF4V1 
SERPING1 ,SELE 
SERPING1 ,ITIH1 
SERPING1 ,NR4A1 
SERPING1 ,ADRA1B 
SERPING1 ,OR3A2 
SERPING1 ,MASP1 
SERPING1 ,DCD 
SERPING1 ,SLC1A5
SERPING1 ,OR2T6 
SERPING1 ,RYR2 
SERPING1 ,OR8D2 
HEL111 ,ITGB5 
HEL111 ,CNMD 
HEL111 ,CNMD
HEL111 ,F2 
HEL111 ,HP 
HEL111 ,CFD 
HEL111 ,PLG 
HEL111 ,CFB 
HEL111 ,CST3 
HEL111 ,APOA1 
HEL111 ,APOE 
HEL111 ,APOA2 
HEL111 ,APOC2 
HEL111 ,FGA 
HEL111 ,C1QA 
HEL111 ,C1QC 
HEL111 ,FN1 
HEL111 ,RBP4 
HEL111 ,AHSG 
HEL111 ,ALB 
HEL111 ,PPBP 
HEL111 ,TF 
HEL111 ,HPX 
HEL111 ,KRT1 
HEL111 ,SERPIND1 
